ranking,score,movie_name,score_num
1,9.7,肖申克的救赎,1733762
2,9.6,霸王别姬,1281611
3,9.5,阿甘正传,1338093
4,9.4,这个杀手不太冷,1532437
5,9.4,泰坦尼克号,1275077
6,9.5,美丽人生,781870
7,9.3,千与千寻,1365776
8,9.5,辛德勒的名单,688184
9,9.3,盗梦空间,1304693
10,9.3,忠犬八公的故事,884035
11,9.3,海上钢琴师,1062147
12,9.3,机器人总动员,862643
13,9.2,三傻大闹宝莱坞,1182487
14,9.3,楚门的世界,931572
15,9.3,放牛班的春天,827465
16,9.3,星际穿越,948890
17,9.2,大话西游之大圣娶亲,928169
18,9.3,熔炉,560543
19,9.2,龙猫,803572
20,9.2,无间道,761174
21,9.3,教父,588629
22,9.2,疯狂动物城,1087253
23,9.1,当幸福来敲门,957609
24,9.0,怦然心动,1085746
25,9.2,触不可及,627161
ranking,score,movie_name,score_num
1,9.7,肖申克的救赎,1733762
2,9.6,霸王别姬,1281611
3,9.5,阿甘正传,1338093
4,9.4,这个杀手不太冷,1532683
5,9.4,泰坦尼克号,1275077
6,9.5,美丽人生,781870
7,9.3,千与千寻,1365776
8,9.5,辛德勒的名单,688184
9,9.3,盗梦空间,1304693
10,9.3,忠犬八公的故事,884035
11,9.3,海上钢琴师,1062147
12,9.3,机器人总动员,862643
13,9.2,三傻大闹宝莱坞,1182487
14,9.3,楚门的世界,931572
15,9.3,放牛班的春天,827465
16,9.3,星际穿越,948890
17,9.2,大话西游之大圣娶亲,928169
18,9.3,熔炉,560543
19,9.2,龙猫,803572
20,9.2,无间道,761174
21,9.3,教父,588629
22,9.2,疯狂动物城,1087253
23,9.1,当幸福来敲门,957609
24,9.0,怦然心动,1085746
25,9.2,触不可及,627161
26,9.2,蝙蝠侠：黑暗骑士,639159
27,9.2,活着,494002
28,9.6,控方证人,231018
29,9.3,乱世佳人,426779
30,9.0,少年派的奇幻漂流,925065
31,9.0,摔跤吧！爸爸,954191
32,9.2,指环王3：王者无敌,470185
33,9.0,飞屋环游记,846540
34,9.2,鬼子来了,396702
35,9.4,十二怒汉,283035
36,9.1,天空之城,544203
37,9.1,寻梦环游记,909015
38,9.2,末代皇帝,414431
39,9.2,天堂电影院,441704
40,9.0,大话西游之月光宝盒,749705
41,9.0,哈尔的移动城堡,617253
42,9.0,罗马假日,624969
43,9.0,搏击俱乐部,580548
44,9.2,素媛,368664
45,9.0,闻香识女人,539093
46,9.2,辩护人,375760
47,9.1,何以为家,468198
48,9.1,窃听风暴,367300
49,9.1,死亡诗社,446953
50,9.2,教父2,321853
51,9.1,指环王2：双塔奇兵,434943
52,9.1,两杆大烟枪,392906
53,9.0,狮子王,487290
54,9.1,飞越疯人院,396894
55,9.0,指环王1：魔戒再现,488725
56,8.9,V字仇杀队,686745
57,9.0,美丽心灵,480011
58,9.1,饮食男女,347835
59,8.9,哈利·波特与魔法石,532740
60,9.3,大闹天宫,220539
61,9.1,钢琴家,320117
62,8.9,本杰明·巴顿奇事,628585
63,9.3,海豚湾,261978
64,9.0,黑客帝国,480949
65,8.9,情书,585241
66,8.8,看不见的客人,710128
67,9.0,我不是药神,1311018
68,8.8,让子弹飞,1025873
69,8.9,猫鼠游戏,466115
70,8.9,西西里的美丽传说,609723
71,9.2,小鞋子,243476
72,9.0,拯救大兵瑞恩,404506
73,9.2,美国往事,269917
74,9.0,音乐之声,373384
75,8.8,致命魔术,538142
76,8.8,七宗罪,635243
77,9.1,穿条纹睡衣的男孩,294828
78,8.8,低俗小说,538560
79,8.9,被嫌弃的松子的一生,482383
80,8.8,沉默的羔羊,536049
81,8.8,蝴蝶效应,591031
82,8.9,春光乍泄,399657
83,8.9,心灵捕手,438524
84,8.8,禁闭岛,586162
85,8.9,勇敢的心,411205
86,8.8,布达佩斯大饭店,549431
87,8.7,剪刀手爱德华,724037
88,8.7,天使爱美丽,700123
89,8.7,阿凡达,853329
90,9.3,摩登时代,169124
91,8.7,加勒比海盗,563725
92,8.8,致命ID,491691
93,8.8,断背山,483892
94,8.9,幽灵公主,356994
95,8.8,入殓师,421497
96,8.7,喜剧之王,571573
97,8.8,阳光灿烂的日子,407704
98,9.1,狩猎,214819
99,8.7,重庆森林,508732
100,8.9,第六感,349993
101,9.2,海蒂和爷爷,181502
102,8.8,杀人回忆,383320
103,8.9,玛丽和马克思,305679
104,9.0,小森林 夏秋篇,252117
105,8.7,消失的爱人,570318
106,8.8,请以你的名字呼唤我,368492
107,8.7,告白,498238
108,9.0,一一,225019
109,8.8,大鱼,374918
110,8.8,爱在黎明破晓前,357578
111,9.0,红辣椒,236245
112,8.8,阳光姐妹淘,407644
113,8.9,侧耳倾听,281276
114,8.8,7号房的礼物,311130
115,8.7,射雕英雄传之东成西就,414361
116,8.8,哈利·波特与死亡圣器(下),451034
117,8.8,甜蜜蜜,329569
118,8.9,超脱,285459
119,8.7,倩女幽魂,439707
120,9.0,小森林 冬春篇,219450
121,8.7,驯龙高手,477596
122,8.7,蝙蝠侠：黑暗骑士崛起,455240
123,8.8,菊次郎的夏天,314754
124,8.6,唐伯虎点秋香,611420
125,8.8,恐怖直播,383828
126,8.8,爱在日落黄昏时,310918
127,8.8,萤火之森,294189
128,8.8,幸福终点站,336331
129,8.7,超能陆战队,618668
130,8.8,借东西的小人阿莉埃蒂,334017
131,8.9,绿皮书,874444
132,8.8,风之谷,259454
133,9.1,无人知晓,154802
134,8.6,神偷奶爸,623326
135,8.9,上帝之城,212309
136,8.7,怪兽电力公司,396940
137,8.8,玩具总动员3,307905
138,8.7,血战钢锯岭,515614
139,8.7,电锯惊魂,316357
140,8.7,岁月神偷,419745
141,8.9,喜宴,213748
142,9.2,七武士,119597
143,8.8,谍影重重3,275840
144,9.1,完美的世界,142856
145,8.7,英雄本色,308325
146,8.7,时空恋旅人,334234
147,8.6,傲慢与偏见,468205
148,8.7,疯狂原始人,558438
149,8.7,萤火虫之墓,291225
150,8.6,东邪西毒,391543
151,8.9,教父3,212190
152,8.6,真爱至上,466127
153,8.7,爆裂鼓手,348666
154,8.7,心迷宫,302569
155,8.7,被解救的姜戈,390496
156,8.8,纵横四海,250312
157,8.6,贫民窟的百万富翁,523426
158,8.6,记忆碎片,398299
159,8.7,三块广告牌,539434
160,8.5,黑天鹅,582628
161,8.8,荒蛮故事,249255
162,8.8,达拉斯买家俱乐部,286595
163,9.0,哪吒闹海,148323
164,8.9,我是山姆,177940
165,8.4,你的名字。,847611
166,8.6,花样年华,362528
167,8.7,雨人,283703
168,8.9,卢旺达饭店,176686
169,9.2,天书奇谭,110844
170,8.7,头号玩家,904166
171,8.7,头脑特工队,369716
172,8.5,功夫,540046
173,8.8,你看起来好像很好吃,218510
174,8.7,无敌破坏王,334189
175,8.6,海边的曼彻斯特,317958
176,9.1,忠犬八公物语,109922
177,8.9,未麻的部屋,163721
178,8.5,恋恋笔记本,414348
179,8.8,一个叫欧维的男人决定去死,219576
180,8.5,冰川时代,408784
181,8.6,模仿游戏,383128
182,8.7,二十二,187902
183,8.9,虎口脱险,150999
184,8.7,黑客帝国3：矩阵革命,252545
185,9.0,雨中曲,134231
186,9.1,海洋,121264
187,8.7,海街日记,237535
188,8.6,人工智能,278699
189,8.8,房间,249404
190,8.6,魔女宅急便,301155
191,8.4,恐怖游轮,498370
192,8.8,燃情岁月,196657
193,8.9,惊魂记,141784
194,8.8,罗生门,193503
195,8.6,穿越时空的少女,269077
196,8.4,釜山行,643616
197,8.8,魂断蓝桥,176161
198,8.4,疯狂的石头,497148
199,8.5,完美陌生人,358482
200,9.6,人生果实,57426
201,8.6,奇迹男孩,358399
202,8.7,终结者2：审判日,220962
203,8.5,猜火车,319885
204,8.5,阿飞正传,319259
205,8.7,可可西里,185859
206,8.8,新世界,179637
207,8.5,香水,384905
208,8.4,初恋这件小事,684498
209,8.8,牯岭街少年杀人事件,162781
210,8.8,2001太空漫游,172214
211,8.6,谍影重重2,234534
212,8.6,谍影重重,279703
213,8.8,爱在午夜降临前,184614
214,8.6,战争之王,239997
215,8.9,地球上的星星,131870
216,8.5,青蛇,326128
217,8.7,浪潮,184724
218,8.5,朗读者,346640
219,8.5,哈利·波特与阿兹卡班的囚徒,308141
220,8.6,新龙门客栈,280736
221,8.5,无耻混蛋,318274
222,8.4,源代码,548018
223,8.8,绿里奇迹,163648
224,8.8,步履不停,154900
225,8.5,哈利·波特与密室,325775
226,8.5,小萝莉的猴神大叔,302325
227,9.3,城市之光,72783
228,8.6,血钻,217344
229,8.5,彗星来的那一夜,306517
230,8.5,再次出发之纽约遇见你,265977
231,8.9,追随,116961
232,8.6,疯狂的麦克斯4：狂暴之路,325394
233,8.7,一次别离,178880
234,9.2,东京物语,79906
235,8.7,小偷家族,496220
236,8.6,遗愿清单,215440
237,8.8,聚焦,185388
238,8.6,撞车,231572
239,8.4,色，戒,405486
240,8.5,发条橙,258557
241,8.7,梦之安魂曲,152573
242,8.7,大佛普拉斯,218107
243,8.6,黑鹰坠落,184913
244,8.3,驴得水,560708
245,8.6,E.T. 外星人,227865
246,9.0,我爱你,93550
247,8.7,千钧一发,145624
248,8.7,末路狂花,147921
249,8.5,变脸,290264
250,8.5,这个男人来自地球,260708
